,area,n_soceco,per_x_hog,educ,afil_sisprev,sprev_salud,activ
586,1,3,3,4,1,0,1
587,1,0,5,2,0,0,0
588,1,3,3,1,1,0,1
589,1,2,4,9,0,0,2
590,1,0,2,0,1,0,0
591,1,4,4,2,1,3,1
592,1,5,4,4,1,0,0
593,1,4,6,4,1,0,0
594,0,0,6,4,1,0,0
595,0,5,4,9,3,2,1
596,1,0,1,3,0,0,0
597,1,3,4,2,1,0,1
598,1,3,6,5,1,0,1
599,1,4,3,10,1,0,1
600,1,3,6,2,0,0,1
601,1,5,3,9,0,0,0
602,1,3,6,2,1,0,1
603,1,4,3,0,0,3,1
604,1,1,4,4,0,0,0
605,1,4,4,2,1,0,1
606,1,2,7,2,1,0,1
607,1,5,4,6,1,0,0
608,0,0,4,6,1,0,1
609,0,0,3,8,2,0,1
610,1,0,5,2,1,0,1
611,1,3,5,10,1,0,0
612,1,2,4,4,1,0,1
613,1,0,2,5,0,0,0
614,0,0,4,5,1,0,1
615,1,3,2,4,1,3,0
616,1,0,2,5,0,0,0
617,0,3,4,5,1,0,0
618,1,3,4,0,1,0,1
619,1,1,3,1,1,0,1
620,0,0,5,5,0,0,1
621,1,1,4,9,1,0,1
622,1,3,3,0,0,0,0
623,1,4,1,12,1,1,1
624,1,0,5,10,1,0,0
625,1,1,4,3,1,0,1
626,1,3,6,8,1,0,1
627,0,3,9,8,1,0,2
628,0,0,4,4,1,0,0
629,1,2,4,2,1,0,1
630,1,2,4,2,0,0,1
631,0,0,3,0,0,0,0
632,1,1,2,2,0,0,1
633,1,5,3,0,1,0,0
634,1,2,3,8,1,0,1
635,0,0,2,5,1,0,0
636,1,2,3,10,0,1,0
637,1,2,2,8,1,1,1
638,0,0,4,7,1,2,0
639,1,5,3,9,1,1,1
640,1,2,2,9,1,0,1
641,0,0,6,4,0,0,1
642,1,0,2,8,0,0,1
643,1,2,5,10,1,0,2
644,1,0,5,3,1,0,0
645,1,0,1,0,0,0,0
646,0,0,5,9,1,0,1
647,0,0,2,5,0,0,0
648,1,3,1,0,1,0,1
649,1,1,1,1,0,0,2
650,1,4,2,12,1,1,1
651,1,5,3,1,0,0,0
652,1,3,3,8,0,0,1
653,1,0,2,2,1,3,1
654,1,2,5,2,1,1,1
655,1,5,6,4,1,0,0
656,1,4,2,10,1,0,1
657,0,1,3,2,1,0,1
658,1,2,2,9,1,1,1
659,0,0,4,0,1,0,1
660,1,0,1,5,1,0,0
661,1,5,3,2,1,3,0
662,1,1,1,1,1,1,1
663,1,3,3,2,1,0,1
664,1,4,3,2,1,0,1
665,0,3,1,4,0,0,1
666,1,2,2,8,1,0,1
667,1,3,2,6,1,0,0
668,1,0,7,10,0,0,0
669,1,2,3,4,1,0,0
670,1,1,4,4,1,0,0
671,0,3,5,2,1,0,0
672,1,0,3,2,1,0,1
673,1,1,2,6,0,0,0
674,1,4,5,6,1,0,0
675,0,0,5,10,0,0,0
676,1,0,1,0,1,0,1
677,1,3,3,2,1,0,1
678,0,3,2,5,0,0,0
679,0,2,6,2,1,0,1
680,1,3,3,3,1,0,0
681,0,3,2,0,1,0,0
682,1,2,3,10,0,0,0
683,1,1,2,4,1,0,0
684,0,0,1,0,1,0,0
685,0,0,3,3,1,0,0
686,1,0,4,8,1,0,1
687,1,3,3,5,1,1,0
688,0,0,4,8,0,0,0
689,1,4,2,6,1,0,0
690,1,4,3,9,1,1,1
691,1,2,5,1,1,2,0
692,1,2,3,2,1,0,1
693,1,3,4,5,0,0,1
694,0,1,2,0,0,0,0
695,1,3,4,2,1,0,0
696,0,0,2,2,0,0,1
697,1,4,2,9,1,0,1
698,0,1,2,0,1,0,0
699,1,2,3,7,1,0,1
700,1,2,1,9,1,0,0
701,1,0,4,8,1,0,1
702,1,3,4,8,1,3,0
703,1,0,3,1,1,0,1
704,1,4,2,6,0,1,0
705,1,4,3,7,1,0,0
706,1,1,4,10,1,0,1
707,1,3,3,7,1,3,0
708,0,0,4,8,0,0,1
709,0,0,2,5,0,0,0
710,1,0,2,2,1,0,1
711,1,2,5,7,1,0,0
712,0,1,6,2,1,0,0
713,1,2,2,1,1,0,1
714,1,0,2,9,0,0,0
715,1,0,2,4,1,0,1
716,1,0,6,4,0,0,1
717,1,5,10,9,1,1,1
718,0,6,6,9,0,0,0
719,1,4,2,2,1,0,1
720,0,0,4,2,1,0,0
721,0,0,3,0,0,0,0
722,1,4,4,10,1,0,1
723,1,0,3,0,1,0,1
724,1,4,5,2,0,0,1
725,1,2,6,2,0,0,1
726,1,2,3,6,1,0,0
727,1,2,8,4,1,0,0
728,1,2,2,9,1,0,0
729,1,4,2,2,1,0,1
730,1,5,1,10,1,0,1
731,1,2,2,5,0,0,0
732,0,1,3,3,1,0,0
733,1,0,3,8,0,0,1
734,0,3,4,2,1,0,1
735,1,3,2,9,1,1,1
